key_resp_2.keys,key_resp_2.rt,key_resp_5.keys,key_resp_5.rt,slider_2.response,slider_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,stim,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,key_resp.keys,key_resp.rt
space,6.8374,p,16.9632,3.984375,3.8104,0,0,0,1,1,stim/sos.wav,5aef97b09516fe00010959f4,001,2021-10-23_18h50.46.116,phoneme_categorization_task,2021.2.3,Win32,59.77286312,,,,,,,,,,,,,
,,q,2.5938,6,2.3427,0,1,1,0,1,stim/sis.wav,5aef97b09516fe00010959f4,001,2021-10-23_18h50.46.116,phoneme_categorization_task,2021.2.3,Win32,59.77286312,,,,,,,,,,,,,
,,,,,,,,,,,stim/sis.wav,5aef97b09516fe00010959f4,001,2021-10-23_18h50.46.116,phoneme_categorization_task,2021.2.3,Win32,59.77286312,space,3.6228,q,2.6679,6.0234375,1.2358,0,0,0,0,1,,
,,,,,,,,,,,stim/sos.wav,5aef97b09516fe00010959f4,001,2021-10-23_18h50.46.116,phoneme_categorization_task,2021.2.3,Win32,59.77286312,,,p,2.1581,2.9375,1.985,0,1,1,1,1,,
,,,,,,,,,,,stim/sys.wav,5aef97b09516fe00010959f4,001,2021-10-23_18h50.46.116,phoneme_categorization_task,2021.2.3,Win32,59.77286312,,,z,12.4343,5.9375,2.3007,0,2,2,3,1,,
,,,,,,,,,,,stim/sus.wav,5aef97b09516fe00010959f4,001,2021-10-23_18h50.46.116,phoneme_categorization_task,2021.2.3,Win32,59.77286312,,,p,7.6896,1.9765625,1.3234,0,3,3,2,1,,
,,,,,,,,,,,stim/sus.wav,5aef97b09516fe00010959f4,001,2021-10-23_18h50.46.116,phoneme_categorization_task,2021.2.3,Win32,59.77286312,,,p,6.6917,2.0625,2.2574,1,0,4,2,1,,
,,,,,,,,,,,stim/sis.wav,5aef97b09516fe00010959f4,001,2021-10-23_18h50.46.116,phoneme_categorization_task,2021.2.3,Win32,59.77286312,,,q,2.9086,6,2.0781,1,1,5,0,1,,
,,,,,,,,,,,stim/sos.wav,5aef97b09516fe00010959f4,001,2021-10-23_18h50.46.116,phoneme_categorization_task,2021.2.3,Win32,59.77286312,,,m,4.2738,5.9296875,2.6348,1,2,6,1,1,,
,,,,,,,,,,,stim/sys.wav,5aef97b09516fe00010959f4,001,2021-10-23_18h50.46.116,phoneme_categorization_task,2021.2.3,Win32,59.77286312,,,v,9.2106,2.0078125,3.0899,1,3,7,3,1,,
,,,,,,,,,,,stim/sus.wav,5aef97b09516fe00010959f4,001,2021-10-23_18h50.46.116,phoneme_categorization_task,2021.2.3,Win32,59.77286312,,,p,5.7354,1.9609375,1.2417,2,0,8,2,1,,
,,,,,,,,,,,stim/sys.wav,5aef97b09516fe00010959f4,001,2021-10-23_18h50.46.116,phoneme_categorization_task,2021.2.3,Win32,59.77286312,,,q,3.175,3.0625,3.295,2,1,9,3,1,,
,,,,,,,,,,,stim/sos.wav,5aef97b09516fe00010959f4,001,2021-10-23_18h50.46.116,phoneme_categorization_task,2021.2.3,Win32,59.77286312,,,m,4.4055,5.96875,1.2266,2,2,10,1,1,,
,,,,,,,,,,,stim/sis.wav,5aef97b09516fe00010959f4,001,2021-10-23_18h50.46.116,phoneme_categorization_task,2021.2.3,Win32,59.77286312,,,z,3.3966,5.9375,1.3009,2,3,11,0,1,,
,,,,,,,,,,,stim/sus.wav,5aef97b09516fe00010959f4,001,2021-10-23_18h50.46.116,phoneme_categorization_task,2021.2.3,Win32,59.77286312,,,p,4.7371,3.015625,1.2838,3,0,12,2,1,,
,,,,,,,,,,,stim/sys.wav,5aef97b09516fe00010959f4,001,2021-10-23_18h50.46.116,phoneme_categorization_task,2021.2.3,Win32,59.77286312,,,q,4.3487,6.15625,2.7926,3,1,13,3,1,,
,,,,,,,,,,,stim/sos.wav,5aef97b09516fe00010959f4,001,2021-10-23_18h50.46.116,phoneme_categorization_task,2021.2.3,Win32,59.77286312,,,m,2.7352,5.9765625,1.2071,3,2,14,1,1,,
,,,,,,,,,,,stim/sis.wav,5aef97b09516fe00010959f4,001,2021-10-23_18h50.46.116,phoneme_categorization_task,2021.2.3,Win32,59.77286312,,,z,2.8846,5.9765625,0.9576,3,3,15,0,1,,
,,,,,,,,,,,stim/sos.wav,5aef97b09516fe00010959f4,001,2021-10-23_18h50.46.116,phoneme_categorization_task,2021.2.3,Win32,59.77286312,,,m,1.7622,5.9765625,0.9165,4,0,16,1,1,,
,,,,,,,,,,,stim/sis.wav,5aef97b09516fe00010959f4,001,2021-10-23_18h50.46.116,phoneme_categorization_task,2021.2.3,Win32,59.77286312,,,z,1.4391,6,1.3907,4,1,17,0,1,,
,,,,,,,,,,,stim/sus.wav,5aef97b09516fe00010959f4,001,2021-10-23_18h50.46.116,phoneme_categorization_task,2021.2.3,Win32,59.77286312,,,p,9.3753,2.0703125,1.5308,4,2,18,2,1,,
,,,,,,,,,,,stim/sys.wav,5aef97b09516fe00010959f4,001,2021-10-23_18h50.46.116,phoneme_categorization_task,2021.2.3,Win32,59.77286312,,,q,4.4705,6.0390625,1.4763,4,3,19,3,1,,
,,,,,,,,,,,,5aef97b09516fe00010959f4,001,2021-10-23_18h50.46.116,phoneme_categorization_task,2021.2.3,Win32,59.77286312,,,,,,,,,,,,space,1.0697
