key_resp_2.keys,key_resp_2.rt,key_resp_5.keys,key_resp_5.rt,slider_2.response,slider_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,stim,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,key_resp.keys,key_resp.rt
space,10.4359,y,20.4248,4.008333333,6.6526,0,0,0,1,1,stim/sos.wav,5c322cb74d15db00012f36ae,001,2021-10-26_18h08.48.952,phoneme_categorization_task,2021.2.3,Win32,31.41788935,,,,,,,,,,,,,
,,z,14.0967,6.020833333,1.5722,0,1,1,0,1,stim/sis.wav,5c322cb74d15db00012f36ae,001,2021-10-26_18h08.48.952,phoneme_categorization_task,2021.2.3,Win32,31.41788935,,,,,,,,,,,,,
,,,,,,,,,,,stim/sos.wav,5c322cb74d15db00012f36ae,001,2021-10-26_18h08.48.952,phoneme_categorization_task,2021.2.3,Win32,31.41788935,space,2.1891,m,10.6632,4.991666667,1.4655,0,0,0,1,1,,
,,,,,,,,,,,stim/sis.wav,5c322cb74d15db00012f36ae,001,2021-10-26_18h08.48.952,phoneme_categorization_task,2021.2.3,Win32,31.41788935,,,z,2.212,6.1,1.1694,0,1,1,0,1,,
,,,,,,,,,,,stim/sys.wav,5c322cb74d15db00012f36ae,001,2021-10-26_18h08.48.952,phoneme_categorization_task,2021.2.3,Win32,31.41788935,,,z,14.1119,5.025,0.9338,0,2,2,3,1,,
,,,,,,,,,,,stim/sus.wav,5c322cb74d15db00012f36ae,001,2021-10-26_18h08.48.952,phoneme_categorization_task,2021.2.3,Win32,31.41788935,,,p,4.7152,6.004166667,0.9455,0,3,3,2,1,,
,,,,,,,,,,,stim/sys.wav,5c322cb74d15db00012f36ae,001,2021-10-26_18h08.48.952,phoneme_categorization_task,2021.2.3,Win32,31.41788935,,,z,3.8176,5.925,0.8485,1,0,4,3,1,,
,,,,,,,,,,,stim/sos.wav,5c322cb74d15db00012f36ae,001,2021-10-26_18h08.48.952,phoneme_categorization_task,2021.2.3,Win32,31.41788935,,,m,8.5333,6.008333333,0.8484,1,1,5,1,1,,
,,,,,,,,,,,stim/sis.wav,5c322cb74d15db00012f36ae,001,2021-10-26_18h08.48.952,phoneme_categorization_task,2021.2.3,Win32,31.41788935,,,z,2.8336,6.0875,1.01,1,2,6,0,1,,
,,,,,,,,,,,stim/sus.wav,5c322cb74d15db00012f36ae,001,2021-10-26_18h08.48.952,phoneme_categorization_task,2021.2.3,Win32,31.41788935,,,v,2.5907,5.995833333,0.9606,1,3,7,2,1,,
,,,,,,,,,,,stim/sus.wav,5c322cb74d15db00012f36ae,001,2021-10-26_18h08.48.952,phoneme_categorization_task,2021.2.3,Win32,31.41788935,,,v,1.3848,6,0.9581,2,0,8,2,1,,
,,,,,,,,,,,stim/sos.wav,5c322cb74d15db00012f36ae,001,2021-10-26_18h08.48.952,phoneme_categorization_task,2021.2.3,Win32,31.41788935,,,m,3.0854,6.033333333,0.9359,2,1,9,1,1,,
,,,,,,,,,,,stim/sis.wav,5c322cb74d15db00012f36ae,001,2021-10-26_18h08.48.952,phoneme_categorization_task,2021.2.3,Win32,31.41788935,,,z,1.9739,5.925,1.0727,2,2,10,0,1,,
,,,,,,,,,,,stim/sys.wav,5c322cb74d15db00012f36ae,001,2021-10-26_18h08.48.952,phoneme_categorization_task,2021.2.3,Win32,31.41788935,,,z,2.7606,4.954166667,1.157,2,3,11,3,1,,
,,,,,,,,,,,stim/sos.wav,5c322cb74d15db00012f36ae,001,2021-10-26_18h08.48.952,phoneme_categorization_task,2021.2.3,Win32,31.41788935,,,v,1.9821,6.033333333,1.1625,3,0,12,1,1,,
